Redmi 7A 4000mAh超长续航 AI人脸解锁 骁龙8核  标配10W充电器 整机防泼溅 2GB+32GB 磨砂黑 游戏智能手机 小米 红米,539.00,000
OPPO Reno2 Z 8G+128G 深海夜光 4800万夜拍四摄 VOOC闪充 炫彩升降 全网通4G 全面屏拍照游戏智能手机,2499.00,000
努比亚 nubia 红魔3S电竞游戏手机 8GB+128GB 银色风暴 骁龙855Plus UFS3.0 内置风扇 5000mAh大电池 全面屏,2999.00,000
摩托罗拉 Motorola P30 Note 6GB+64GB 墨岩黑 商务长续航全网通手机双卡双待 黑色,999.00,000
OPPO A5 全面屏拍照手机 3GB+32GB 凝夜紫 全网通 移动联通电信4G 双卡双待手机,799.00,000
【现货】Apple苹果iphone11新品手机 红色 128GB,5798.00,000
联想Z5 Pro 6GB+128GB 陶瓷黑 滑盖全面屏 2400万AI四摄 光电屏下指纹 全网通4G手机 双卡双待,1349.00,000
华为（HUAWEI） 荣耀10青春版  {三期白条免息} 原装正品 手机 幻夜黑 4+64G 全网通,969.00,000
三星 Galaxy Note10 智能S Pen 骁龙855 4G手机 8GB+256GB 密斯白 全网通 双卡双待 游戏手机,6599.00,000
诺基亚 NOKIA 9 PureView 6GB+128GB 宇宙蓝 蔡司认证 后置5摄 全网通 4G双卡双待,4299.00,000
【1日至高优惠150】vivo Z3 水滴全面屏 高通骁龙处理器 双摄拍照 4G全网通手机 极光蓝 6GB  64GB,1148.00,000
中兴ZTE Blade A7 水滴全面屏 2GB+32GB极夜黑 1600万高清后摄 全网通4G手机 双卡双待,599.00,000
realme X青春版 2500万前置摄像头 高通骁龙710 水滴全面屏 4045mAh大电池  全网通6GB+64GB 氮气蓝 真我,1199.00,000
诺基亚（NOKIA）105 新 黑色 直板按键 移动联通2G手机 老人手机 学生备用功能机,149.00,000
京品手机努比亚 nubia X 双面屏 深空灰 8GB+128GB 全网通 移动联通电信4G手机 双卡双待,2399.00,000
华为Mate30pro 手机（5G版咨询客服） 亮黑 全网通(8G+256G)(无线充套餐版),6299.00,000
OPPO K5手机【下单立减100+蓝牙双耳机】6400万超清四摄 30W闪充大电池k1/k3升级版 奇幻森林(6GB+128GB) 官方标配,1899.00,000
Redmi Note7 4800万双摄千元机 满血骁龙660 18个月超长质保 4000mAh超长续航 4GB+128GB 亮黑色 游戏智能手机 小米 红米,1249.00,000
联想Z5 畅享版 6GB+64GB 极光蓝 6.2英寸全面屏双摄 全网通4G手机 双卡双待,798.00,000
【新品抢购】Redmi Note8Pro 6400万全场景四摄 液冷游戏芯 4500mAh长续航 NFC 18W快充 红外遥控 6GB+128GB 冰翡翠 游戏智能手机 小米 红米,1599.00,000
华为（HUAWEI） 荣耀 畅玩7 智能老人手机 金色 全网通(2G+16G),455.00,000
【新品抢购】Redmi 8 5000mAh大电量 大字体大音量大内存 3D四曲面机身 AI双摄 骁龙八核处理器 AI人脸解锁 4GB+64GB 宝石蓝 游戏智能手机 小米 红米,899.00,000
小米9pro 5G版手机 梦之白 12G+512G 【现货速发】,4299.00,000
纽曼（Newman）R15 星空黑 学生手机 卡片手机 移动 超薄迷你可爱儿童小手机 备用机非智能戒网手机 老人手机,198.00,000
华为 HUAWEI 麦芒 8 超广角AI三摄 高清珍珠屏 大存储  6GB+128GB 幻夜黑 全网通双4G手机,1699.00,000
realme X 4800万双摄 升降摄像头 屏下指纹 游戏智能手机 6GB+64GB 朋克蓝 全网通双卡,1499.00,000
vivo【1日至高优惠100】iQOO Neo骁龙845 4500mAh强悍续航4G全网通拍照手机 碳纤黑 6GB 128GB,1898.00,000
【1日至高优惠300】vivo Z5x 极点全面屏 骁龙710 5000mAh大电池 4G全网通手机 幻彩粉 6GB 128GB,1598.00,000
OPPO Reno 10倍变焦版 高通骁龙855 4800万超清三摄 6GB+128GB 雾海绿 全网通 全面屏拍照智能游戏手机,3699.00,000
华为mate30手机全网通麒麟990屏内指纹货到付款【赠原装手机壳】5G版咨询客服 亮黑色 8G+128G【无线充原装手机壳套装版】,4299.00,000
OPPO K5手机【下单立减100+蓝牙耳机】超清四摄 30W闪充k1/k3升级版 oppok5 奇幻森林 （6G+128G） 全网通,1899.00,000
【至高立省300】vivo iQOO Neo 855版 骁龙855 33W超快闪充  全网通4G手机 冰岛极光 6GB 128GB,2298.00,000
小米（MI） 小米8青春版 手机 深空灰 全网通 6G+128G,1145.00,000
OPPO K5手机【立减100元+蓝牙耳机】6400万超清四摄30W闪充 k1/k3升级款全网通 奇幻森林（6G+128G） 官方标配,1899.00,000
中兴 ZTE Blade 20 Smart孝心版 松石绿 4GB+128GB全网通 高清三摄 4G双卡双待中兴新品老人机智能手机,999.00,000
小辣椒 红辣椒7X尊享版 6+64GB 宝石蓝 4000mAh大电池  6.3英寸水滴屏 双面玻璃 微信8开 全网通4G 双卡双待,799.00,000
1799！OPPO K5手机【下单立减100+耳机】骁龙730G k1/k3升级款oppok5手机 奇幻森林 6GB+128GB 超值套餐,1949.00,000
三星 Galaxy A60元气版 全面屏 拍照手机 6GB+64GB 丹宁黑 全网通 双卡双待 4G手机,1399.00,000
荣耀 畅玩7 2GB+16GB 金色 全网通4G手机 双卡双待,549.00,000
多亲（QIN）Qin2AI助手 5.05寸全面屏智能超薄手机备机触屏 移动联通4g手机 电信Volte 铁灰色,599.00,000
华为（HUAWEI）荣耀畅玩8C 移动联通电信全网通4G 全面屏智能老年老人手机 双卡双待 黑色 (4G RAM+32G ROM),765.00,000
华为nova5pro 手机(白条6期免息0首付） 绮境森林 8GB+128GB全网通,2669.00,000
【新品首销】OPPO K5 6400万超清四摄30W VOOC闪充 骁龙730G全面屏拍照游戏手机 奇幻森林 8GB+128GB 官方标配,2099.00,000
vivo Z5x 6GB+128GB 极光色 极点屏手机  5000mAh大电池 三摄拍照手机 移动联通电信全网通4G手机,1598.00,000
OPPO K5手机【11.1立减100元+蓝牙耳机】超清四摄骁龙730G k1/k3升级版全网通手机 奇幻森林 6+128G 官方标配,1899.00,000
小米CC9 3200万美颜自拍 索尼4800万超清三摄 多功能NFC 4030mAh 深蓝星球 6GB+64GB 游戏智能拍照手机,1799.00,000
一加7t 7T手机 OnePlus6t升级版手机 冰际蓝 8GB+256GB,3349.00,000
华为mate30手机【5G版咨询客服】 亮黑色 8+128G全网通（无线充+电源套装）,4299.00,000
华为 HUAWEI 畅享 9e 实力大音量高像素珍珠屏3GB+64GB摩登黑全网通版双4G手机,899.00,000
华为nova4e 全网通4G手机 幻夜黑 4G+128G,1196.00,000
realme X2 (下单省100 国行原封)游戏智能手机6400万超广角四摄骁龙730G 手机 星图蓝（8+128G）,1899.00,000
朵唯（DOOV） D520 移动联通翻盖老人手机女款女士女生专用 紫色 移动版,138.00,000
N99S三防老人手机移动/联通 电霸老人手机 黑色,79.00,000
天语HD1极光蓝 5.7英寸水滴全面屏 人脸指纹双解锁  4GB+64GB八核处理器 移动联通电信4G手机 双卡双待,599.00,000
荣耀20青春版 手机 蓝水翡翠 全网通6GB+128GB,1699.00,000
华为mate30 手机（5G版咨询客服） 亮黑色 8G+128GB全网通（华为原装无线充套餐）,4299.00,000
vivo Y7s 6GB+128GB 海风青 超广角后置AI三摄 闪充4500mAh大电池 移动联通电信全网通4G手机,1598.00,000
一加手机 OnePlus 7T 90Hz流体屏 骁龙855Plus旗舰全面屏拍照游戏手机 8GB+256GB 冰川银,3349.00,000
华为nova5pro/nova5 Pro手机【已直降300 华为直供正品 白条免息】送20重好礼 绮境森林 全网通+免费碎屏险（8G+128G）,2699.00,000
Redmi 红米8A 手机 Redmi8A 智能老人学生机 深海蓝 4GB+64GB,799.00,000
realme Q 手机 光钻蓝 6GB+64GB,1188.00,000
Redmi Note7Pro 索尼4800万超清双摄 骁龙675 18个月超长质保 4000mAh超长续航 6GB+128GB 梦幻蓝 游戏智能手机 小米 红米,1399.00,000
小米 红米Note8 pro 手机【6400万四摄 液冷游戏芯】 冰翡翠 全网通6+128,1518.00,000
OPPO K3手机【已降100+耳机】千元机 r17/15x屏幕指纹识 oppok3 秘境黑（6G+64G） 全网通,1499.00,000
三星 Galaxy S10e 6GB+128GB 皓玉白（SM-G9700）超感官全视屏  骁龙855 双卡双待 全网通4G手机,4599.00,000
【电信合约优惠版40G】Apple iPhone 11 Pro Max (A2220) 64GB 银色 移动联通电信4G手机 双卡双待,8429.00,000
华为 HUAWEI Mate 30 Pro 5G 麒麟990 OLED环幕屏双4000万徕卡电影四摄8GB+256GB亮黑色5G全网通版,6899.00,000
【预定至高优惠200】OPPO Reno Ace高通骁龙855Plus90Hz电竞屏游戏智能手机闪充 星际蓝8GB+256GB 标配版,3399.00,000
小辣椒 红辣椒8X 4GB+64GB 流光紫 6.2英寸水滴屏 微信8开 潮流渐变 人脸识别 全网通4G 双卡双待,597.00,000
华为mate30Pro 5G版 手机【华为直供/原封正品/原装好礼】 亮黑色 5G（8G+256G）,6999.00,000
华为荣耀畅玩8全面屏 智能老人手机 老人大字体老年机智能机学生机全网通全面屏 幻夜黑 2+32G,559.00,000
【电信合约优惠版20G】Apple iPhone 11 (A2223) 64GB 紫色 移动联通电信4G手机 双卡双待,4914.00,000
联想S5 Pro GT 全网通手机 纯臻金 4G+64G,698.00,000
三星 Galaxy S10+ 骁龙855 4G手机 8GB+128GB 炭晶黑 全网通 双卡双待 游戏手机,6399.00,000
【新品上市】vivo U3x手机全网通水滴全面屏超广角AI三摄5000mAh持久续航千元机 赤茶红 4GB+64GB 全网通,999.00,000
华为 Mate30 手机【现货速发/华为原装礼品/30天价保/5G版咨询客服】 亮黑色 4G全网通版(8G+128G)【无线充+AI音箱】,4299.00,000
